series,t_bui,tp,fp,unsure,precision,recall
optical only,0.05,4,0,1,1.0,0.5714285714285714
optical only,0.08,4,0,1,1.0,0.5714285714285714
optical only,0.1,4,0,1,1.0,0.5714285714285714
optical only,0.12,4,0,1,1.0,0.5714285714285714
optical only,0.15,4,0,1,1.0,0.5714285714285714
optical only,0.18,3,0,1,1.0,0.42857142857142855
optical only,0.2,2,0,1,1.0,0.2857142857142857
optical only,0.25,2,0,0,1.0,0.2857142857142857
optical only,0.3,1,0,0,1.0,0.14285714285714285
"fused, all classes",0.05,6,0,2,1.0,0.8571428571428571
"fused, all classes",0.08,6,0,2,1.0,0.8571428571428571
"fused, all classes",0.1,6,0,2,1.0,0.8571428571428571
"fused, all classes",0.12,6,0,2,1.0,0.8571428571428571
"fused, all classes",0.15,6,0,2,1.0,0.8571428571428571
"fused, all classes",0.18,5,1,2,0.8333333333333334,0.7142857142857143
"fused, all classes",0.2,4,2,2,0.6666666666666666,0.5714285714285714
"fused, all classes",0.25,4,2,1,0.6666666666666666,0.5714285714285714
"fused, all classes",0.3,3,2,1,0.6,0.42857142857142855
"fused, high + medium",0.05,4,0,1,1.0,0.5714285714285714
"fused, high + medium",0.08,4,0,1,1.0,0.5714285714285714
"fused, high + medium",0.1,4,0,1,1.0,0.5714285714285714
"fused, high + medium",0.12,4,0,1,1.0,0.5714285714285714
"fused, high + medium",0.15,4,0,1,1.0,0.5714285714285714
"fused, high + medium",0.18,3,0,1,1.0,0.42857142857142855
"fused, high + medium",0.2,2,0,1,1.0,0.2857142857142857
"fused, high + medium",0.25,2,0,0,1.0,0.2857142857142857
"fused, high + medium",0.3,1,0,0,1.0,0.14285714285714285
