id,lat,lon,label,confidence,note
C001,12.938768,80.194088,,,
C002,12.941019,80.194503,,,
C003,12.942705,80.198288,,,
C004,12.942462,80.197146,,,
C005,12.937963,80.195150,,,
C006,12.941499,80.194382,,,
C007,12.939306,80.194343,,,
C008,12.938362,80.196601,,,
C009,12.942718,80.197611,,,
C010,12.944212,80.189417,,,
C011,12.939735,80.192614,,,
C012,12.940513,80.196416,,,
C013,12.938311,80.193992,,,
C014,12.940839,80.196958,,,
C015,12.944680,80.189791,,,
C016,12.940052,80.193936,,,
C017,12.941498,80.196648,,,
C018,12.942202,80.198392,,,
C019,12.944195,80.188634,,,
C020,12.939508,80.197257,,,
C021,12.941214,80.195023,,,
C022,12.940914,80.195684,,,
C023,12.939160,80.192840,,,
C024,12.938867,80.196086,,,
C025,12.943293,80.197840,,,
C026,12.943452,80.188170,,,
C027,12.939203,80.195617,,,
C028,12.943514,80.188824,,,
C029,12.937824,80.194157,,,
C030,12.943491,80.189419,,,
C031,12.939175,80.195085,,,
C032,12.939369,80.193754,,,
C033,12.940369,80.194762,,,
C034,12.938876,80.196752,,,
C035,12.940974,80.193904,,,
C036,12.940009,80.196263,,,
C037,12.940034,80.193247,,,
C038,12.941506,80.195550,,,
C039,12.944914,80.189000,,,
C040,12.938634,80.193228,,,
C041,12.943234,80.198304,,,
